City,Name,Lat,Lon,Link,Random
Aliso Viejo,Elite Soccer League,33.5716609,-117.7255166,https://www.elitesoccerleague.com/,a
Anaheim,PLA Sports,33.8265018,-117.9173254,https://www.laplasports.com/,a
Brea,AC Brea,33.9196235,-117.8508318,https://www.breasoccer.org/,a
Costa Mesa,Soccer 6,33.6758774,-117.8771961,https://soccer6.net/,a
Garden Grove,Futsal Picante,33.7755554,-118.0100086,http://futsalpicante.net/,a
Huntington Beach,Outbreak Soccer Center,33.7383158,-118.0319655,http://www.outbreaksoccercenters.com/,a
Irvine,Momentous Sports Center,33.7142686,-117.8027955,http://momentoussportscenter.com/,a
Laguna Niguel,LNYSA (Adults),33.5313733,-117.7087007,https://www.lnysa.org/adult-soccer/,a
Los Alamitos,Deft Touch Soccer Center,33.8053428,-118.0649872,https://defttouchindoorsoccer.com/,a
Orange,Arena Soccer Parks,33.8235981,-117.8400847,https://www.arenasoccerparks.org/,a
San Juan Capistrano,Arena Soccer League,33.4887542,-117.6770617,http://www.arenasoccerleague.org/,a
Arcadia,Adult Soccer League,34.1268242,-118.0497278,http://www.adultsoccerleague.com/,a
Bellflower,Pacific Stars Soccer League,33.8748593,-118.1294359,https://www.facebook.com/PacificStarSoccerLeague/,a
Burbank,YMCA,34.1847652,-118.3105325,https://burbankymca.org/soccer,a
Calabasas,So Cal Futbol Assoc.,34.1382513,-118.6276185,http://www.socalfutbol.org/,a
Cerritos,Cerritos Korean SC,33.8486694,-118.0601449,http://cerritoskoreansoccerclub.blogspot.com/,a
Claremont,Claremont Adult Soccer League,34.1170746,-117.7390406,http://www.casl-soccer.com/,a
Covina,Goals Soccer Centers,34.077651,-117.8815457,https://www.goals-soccer.com/,a
Downey,Unimex Soccer League,33.9062175,-118.149994,https://www.facebook.com/unimexsoccerleagueshare/,a
Duarte,Duarte Soccer League,34.128784,-117.9887319,http://www.duartesoccer.org/,a
Gardena,LGK Soccer,33.8963037,-118.2899172,https://lgksoccer.com/,a
Glendale,Adult Soccer League,34.1841801,-118.2148131,http://www.adultsoccerleague.com/,a
Hawthorne,Hawthorne Premier Soccer,33.9173223,-118.363137,https://www.facebook.com/HawthornePremier/,a
Hermosa Beach,Outbreak Soccer Center,33.7383158,-118.0319655,http://www.outbreaksoccercenters.com/,a
Lakewood,YMCA,33.8329107,-118.1177999,https://lbymca.org/lakewood/youth-sports-lakewood,a
Long Beach,Volitude Beach Soccer,33.7561755,-118.1387699,https://volitude.leagueapps.com/leagues/soccer,a
Los Angeles,UrbanFutsal LA,34.0790038,-118.2222806,http://www.urbanfutsal.la/,a
Manhattan Beach,South Bay Peninsula Soccer,33.8912861,-118.3830333,http://www.sbpsl.com/,a
Monrovia,AYSO Adult League,34.1442616,-118.0019482,https://www.ayso5043.org/Default.aspx?tabid=935719,a
Norwalk,Urban Soccer 5,33.9101029,-118.0777231,http://www.us5center.com/,a
Palos Verdes,South Bay Peninsula Soccer,33.7788174,-118.4194422,http://www.sbpsl.com/,a
Pasadena,Adult Soccer League,34.163239,-118.1521225,http://www.adultsoccerleague.com/,a
Pomona,Pomona Adult Soccer League,34.0303034,-117.7495695,http://www.pomonaadultsoccer.com/,a
Santa Clarita,Santa Clarita Soccer Center,34.4375814,-118.579255,http://www.scsoccercenter.com/,a
Santa Fe Springs,Santa Fe Springs Soccer League,33.9472359,-118.0853451,https://www.facebook.com/santafespringssoccerleague/photos/,a
Santa Monica,Santa Monica Adult Soccer League,34.0202351,-118.4806938,http://santamonicaadultsoccer.teampages.com/,a
South El Monte,Indoor Soccer Center,34.061038,-118.0591434,http://www.lifeoftheparty.com/indoorsoccercenter.htm,a
South Gate,Goals Soccer Centers,33.9456357,-118.1830322,https://www.goals-soccer.com/,a
Torrance,LA Galaxy Soccer Center,33.8410673,-118.3394374,http://lagalaxysc.com/,a
West Covina,Big League Dreams,34.0399021,-117.9100936,https://westcovina.bigleaguedreams.com/,a
Whittier,Whittier National Soccer League,33.9504559,-118.0274943,https://www.facebook.com/whittiernationalsoccerleague/,a
Woodland Hills,Woodland Hills Indoor,34.1787789,-118.5967804,http://www.whindoorsoccer.com/,a
Garden Grove,Arena Soccer Parks,33.7645039,-117.9660419,https://www.arenasoccerparks.org/,a
Huntington Beach,Huntington Beach Sports Complex,33.7005523,-118.0026568,https://www.huntingtonbeachca.gov/residents/parks_facilities/parks/huntington_central_park/sports_complex.cfm,a
Laguna Niguel,Laguna Nigual FA,33.5128746,-117.6915085,https://lagunaniguelfa.com/,a
Los Angeles,LA Futebol Indoor Soccer Facility,34.0385542,-118.2802238,https://la-futebol-indoor-soccer-facility.business.site/,a
Pomona,Goals Pomona,34.0303034,-117.7495695,https://www.goals-soccer.com/clubs/los-angeles/pomona/,a
Torrance,LGK Soccer,33.8412203,-118.3412445,https://lgksoccer.com/,a
